Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,18092020,1045860201,0001804
Trade Date <18-SEP-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,27009,18809,69.64
20,2,21STCENMGM,EQ,4873,2150,44.12
20,3,3IINFOTECH,EQ,6324248,3579543,56.60
20,4,3MINDIA,EQ,8313,5636,67.80
20,5,3PLAND,EQ,100,100,100.00
20,6,63MOONS,EQ,26914,18456,68.57
20,7,716GS2050,GS,90,90,100.00
20,8,719GS2060,GS,88,88,100.00
20,9,8KMILES,EQ,4958,4958,100.00
20,10,A2ZINFRA,EQ,169879,119172,70.15
20,11,AARON,SM,6300,6300,100.00
20,12,AARTIDRUGS,EQ,578253,194109,33.57
20,13,AARTIIND,EQ,440488,247898,56.28
20,14,AARVEEDEN,EQ,7906,6998,88.52
20,15,AARVI,EQ,480,480,100.00
20,16,AAVAS,EQ,63407,48164,75.96
20,17,ABAN,EQ,26459,15826,59.81
20,18,ABB,EQ,79802,52641,65.96
20,19,ABBOTINDIA,EQ,9254,3996,43.18
20,20,ABCAPITAL,EQ,2626204,1305697,49.72
20,21,ABFRL,EQ,1344005,864585,64.33
20,22,ABFRLPP,E1,51189,15636,30.55
20,23,ABSLBANETF,EQ,444,419,94.37
20,24,ABSLNN50ET,EQ,247,121,48.99
20,25,ACC,EQ,1270015,576129,45.36
20,26,ACCELYA,EQ,43179,38890,90.07
20,27,ACCURACY,SM,4800,1600,33.33
20,28,ACE,EQ,187653,111899,59.63
20,29,ADANIENT,EQ,2744797,491862,17.92
20,30,ADANIGAS,EQ,4279285,3096289,72.36
20,31,ADANIGREEN,EQ,20107415,17083793,84.96
20,32,ADANIPORTS,EQ,4963128,1867503,37.63
20,33,ADANIPOWER,EQ,2654769,1642908,61.89
20,34,ADANITRANS,EQ,238374,104910,44.01
20,35,ADFFOODS,EQ,269078,88239,32.79
20,36,ADHUNIKIND,EQ,8843,7199,81.41
20,37,ADORWELD,EQ,50453,21512,42.64
20,38,ADROITINFO,EQ,4938,4938,100.00
20,39,ADSL,EQ,84014,54053,64.34
20,40,ADVANIHOTR,EQ,1894,1141,60.24
20,41,ADVENZYMES,EQ,829415,307726,37.10
20,42,AEGISCHEM,EQ,816332,751335,92.04
