SCRIP_CODE,COMPANY_NAME
500002,ABB India Limited
500003,Aegis Logistics Ltd
500008,Amara Raja Batteries Ltd
500010,Housing Development Finance CorpLt
500020,Bombay Dyeing & Mfg Co Ltd
500027,Atul Limited
500031,Bajaj Electricals Ltd
500032,Bajaj Hindusthan Sugar Limited
500033,Force Motors Limited
500034,Bajaj Finance Limited
500038,Balrampur Chini Mills Ltd
500039,Banco Products (India) Ltd
500040,Century Textiles & Industries Ltd
500042,BASF India Ltd
500043,Bata India Limited
500048,BEML Ltd
500049,Bharat Electronics Ltd
500052,Bhansali Engineering Polymers Ltd
500055,TATA STEEL BSL LIMITED
500060,Birla Cable Limited
500067,Blue Star Ltd
500084,CESC Limited
500085,Chambal Fertilisers & Chemicals Ltd
500086,Exide Industries Ltd
500087,Cipla Ltd
500092,CRISIL Ltd
500093,CG Power and Industrial Solutions Limited
500096,Dabur India Ltd
500097,Dalmia Bharat Sugar and Industries Ltd
500101,Arvind Ltd
500103,Bharat Heavy Electricals Ltd
500104,Hindustan Petroleum Corporation Ltd
500106,IFCI Ltd
500108,Mahanagar Telephone Nigam Ltd
500109,Mangalore Refinery & Petrochemicals
500110,Chennai Petroleum Corporation Ltd
500111,Reliance Capital Limited
500112,State Bank Of India
500113,Steel Authority of India Ltd
500114,Titan Company Limited
500116,IDBI Bank Ltd
500117,DCW Ltd
500119,Dhampur Sugar Mills Ltd
500120,Diamines & Chemicals Ltd
500123,Elantas Beck India Ltd
500124,Dr Reddy's Laboratories Ltd
500125,EID Parry (India) Ltd
500126,PROCTER & GAMBLE HEALTH LIMITED
500128,Electrosteel Castings Ltd
500133,Esab India Ltd
500135,Essel Propack ltd
500144,Finolex Cables Ltd
500148,Uflex Limited
500150,Foseco India Ltd
500163,Godfrey Phillips India Ltd
500164,Godrej Industries Ltd
500165,Kansai Nerolac Paints
500168,Goodyear India Ltd
500171,GHCL Ltd
500180,HDFC Bank Ltd
500182,Hero MotoCorp Limited
500183,HFCL LIMITED
500184,Himadri Speciality Chemical Ltd
500185,Hindustan Construction Co Ltd
500186,Hindustan Oil Exploration Co Ltd
500187,HSIL Limited
500188,Hindustan Zinc Ltd
500201,India Glycols Ltd
500209,Infosys Ltd
500210,Ingersoll-Rand (India) Ltd
500214,Ion Exchange (India) Ltd
500215,Agro Tech Foods Ltd
500219,Jain Irrigation Systems Ltd
500227,Jindal Poly Films Ltd
500228,JSW Steel Limited
500233,Kajaria Ceramics Ltd
500235,Kalyani Steels Ltd
500238,Whirlpool of India Ltd
500241,Kirloskar Brothers Ltd
500247,Kotak Mahindra Bank Ltd
500249,KSB LIMITED
500250,LgBalkrishnan & Bros Ltd
500251,Trent Ltd [Lakme Ltd]
500252,Lakshmi Machine Works Ltd
500253,Lic Housing Finance Ltd
500254,Uttam Value Steels Limited
500257,Lupin Ltd
500260,The Ramco Cements Limited
500265,Maharashtra Seamless Ltd
500266,Maharashtra Scooters Ltd
500268,Manali Petrochemicals Ltd
500271,Max Financial Services Limited
500280,Century Enka Ltd
500285,SpiceJet Limited
500288,Morepen Laboratories Ltd
500290,MRF Ltd
500292,HeidelbergCement  India Limited
500294,NCC Limited
500295,Vedanta Limited
500298,National Peroxide Ltd
500300,Grasim Industries Ltd
500302,Piramal Enterprises Limited
500304,NIIT Ltd
500312,Oil And Natural Gas Corporation Ltd
500325,Reliance Industries Ltd
500330,Raymond Limited
500331,Pidilite Industries Ltd
500335,Birla Corporation Ltd
500336,Surya Roshni Ltd
500338,PRISM JOHNSON LIMITED
