Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30092020,568164420,0001792
Trade Date <30-SEP-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,19378,10046,51.84
20,2,21STCENMGM,EQ,3529,3489,98.87
20,3,3IINFOTECH,EQ,1087691,1069145,98.29
20,4,3MINDIA,EQ,3818,2610,68.36
20,5,63MOONS,EQ,11523,6419,55.71
20,6,716GS2050,GS,320,320,100.00
20,7,719GS2060,GS,470,470,100.00
20,8,A2ZINFRA,EQ,170187,115343,67.77
20,9,AAKASH,EQ,491,488,99.39
20,10,AARON,SM,6300,6300,100.00
20,11,AARTIDRUGS,EQ,327203,188403,57.58
20,12,AARTIIND,EQ,131989,60694,45.98
20,13,AARVEEDEN,EQ,3693,3669,99.35
20,14,AARVI,EQ,1970,1712,86.90
20,15,AAVAS,EQ,43587,24945,57.23
20,16,ABAN,EQ,29981,23456,78.24
20,17,ABB,EQ,340893,294028,86.25
20,18,ABBOTINDIA,EQ,6371,3000,47.09
20,19,ABCAPITAL,EQ,1113848,319367,28.67
20,20,ABFRL,EQ,1549199,574896,37.11
20,21,ABFRLPP,E1,88120,71217,80.82
20,22,ABSLBANETF,EQ,73,60,82.19
20,23,ABSLNN50ET,EQ,15,10,66.67
20,24,ABSLRIF6RG,MF,1873,1873,100.00
20,25,ACC,EQ,608847,117856,19.36
20,26,ACCELYA,EQ,4204,3336,79.35
20,27,ACCORD,SM,14000,14000,100.00
20,28,ACCURACY,SM,4800,1600,33.33
20,29,ACE,EQ,102901,61317,59.59
20,30,ADANIENT,EQ,5618024,559275,9.96
20,31,ADANIGAS,EQ,796465,230120,28.89
20,32,ADANIGREEN,EQ,2411057,1122985,46.58
20,33,ADANIPORTS,EQ,2757175,434674,15.77
20,34,ADANIPOWER,EQ,749487,381247,50.87
20,35,ADANITRANS,EQ,240221,101033,42.06
20,36,ADFFOODS,EQ,50510,22378,44.30
20,37,ADHUNIKIND,EQ,1636,822,50.24
20,38,ADORWELD,EQ,6932,4610,66.50
20,39,ADROITINFO,EQ,3281,3247,98.96
20,40,ADSL,EQ,275684,24696,8.96
20,41,ADVANIHOTR,EQ,1454,990,68.09
20,42,ADVENZYMES,EQ,3692610,789565,21.38
20,43,AEGISCHEM,EQ,99952,52569,52.59
20,44,AFFLE,EQ,35118,26862,76.49
20,45,AGARIND,EQ,11057,9231,83.49
20,46,AGCNET,EQ,20284,10582,52.17
20,47,AGRITECH,EQ,4515,3438,76.15
20,48,AGROPHOS,EQ,21307,17712,83.13
20,49,AHLADA,SM,11000,10000,90.91
20,50,AHLEAST,EQ,461,297,64.43
20,51,AHLUCONT,EQ,14349,7386,51.47
20,52,AHLWEST,EQ,419,71,16.95
20,53,AIAENG,EQ,48014,24006,50.00
20,54,AIONJSW,EQ,82398,61491,74.63
20,55,AIRAN,EQ,55477,41429,74.68
20,56,AJANTPHARM,EQ,146276,41737,28.53
20,57,AJMERA,EQ,40634,14393,35.42
20,58,AJOONI,SM,20000,8000,40.00
20,59,AKG,SM,4000,4000,100.00
20,60,AKSHARCHEM,EQ,9545,5949,62.33
20,61,AKSHOPTFBR,EQ,152175,98192,64.53
20,62,AKZOINDIA,EQ,14443,7203,49.87
20,63,ALANKIT,EQ,321622,140700,43.75
20,64,ALBERTDAVD,EQ,21237,9574,45.08
20,65,ALCHEM,EQ,7473,6728,90.03
20,66,ALEMBICLTD,EQ,312351,128154,41.03
20,67,ALICON,EQ,1323,1030,77.85
20,68,ALKALI,EQ,3250,2787,85.75
20,69,ALKEM,EQ,166078,90790,54.67
