DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
24092020|500002|000010157|0000000008732989|000013679|0000000011864309|074.25
24092020|500003|000009111|0000000002070931|000019504|0000000004405838|046.71
24092020|500008|000003108|0000000002207147|000023354|0000000016772791|013.31
24092020|500009|000073341|0000000001246797|000086536|0000000001480639|084.75
24092020|500010|000136405|0000000223404109|000202127|0000000331054911|067.48
24092020|500012|000161993|0000000004906110|000161993|0000000004906110|100.00
24092020|500013|000002608|0000000000009494|000002778|0000000000010354|093.88
24092020|500014|000002420|0000000000002541|000002420|0000000000002541|100.00
24092020|500020|000039033|0000000002373207|000087426|0000000005352288|044.65
24092020|500023|000002088|0000000000114214|000003196|0000000000177328|065.33
24092020|500027|000000652|0000000003927811|000001697|0000000010107981|038.42
24092020|500028|000041473|0000000000146375|000041473|0000000000146375|100.00
24092020|500029|000000619|0000000000011235|000000752|0000000000013458|082.31
24092020|500031|000003188|0000000001445918|000006847|0000000003111979|046.56
24092020|500032|000099772|0000000000475913|000234795|0000000001124592|042.49
24092020|500033|000003261|0000000003285621|000005518|0000000005626370|059.10
24092020|500034|000035219|0000000106639611|000161063|0000000498649455|021.87
24092020|500038|000011158|0000000001573278|000025187|0000000003575820|044.30
24092020|500039|000009442|0000000000789352|000014113|0000000001200505|066.90
24092020|500040|000020431|0000000006489908|000041529|0000000013387292|049.20
24092020|500041|000000091|0000000000118300|000000092|0000000000119609|098.91
24092020|500042|000001418|0000000001967263|000003104|0000000004355867|045.68
24092020|500043|000005792|0000000007517437|000027135|0000000035423615|021.35
24092020|500048|000003798|0000000002303108|000016486|0000000009848383|023.04
24092020|500049|000055860|0000000005055330|000190544|0000000017299995|029.32
24092020|500052|000069666|0000000004486491|000141324|0000000009090658|049.30
24092020|500055|000051824|0000000001039072|000078776|0000000001596106|065.79
24092020|500058|000011025|0000000000007276|000011025|0000000000007276|100.00
24092020|500060|000010968|0000000000529755|000012766|0000000000620658|085.92
24092020|500067|000000693|0000000000437457|000002367|0000000001485619|029.28
24092020|500068|000000053|0000000000177868|000000058|0000000000195847|091.38
24092020|500074|000003223|0000000000053502|000003223|0000000000053988|100.00
24092020|500078|000001771|0000000000625252|000002358|0000000000841161|075.11
24092020|500083|000004528|0000000000015441|000005230|0000000000017854|086.58
24092020|500084|000003579|0000000002270876|000024099|0000000015199147|014.85
24092020|500085|000005976|0000000000873692|000012612|0000000001844379|047.38
24092020|500086|000032600|0000000005043220|000106451|0000000016532924|030.62
24092020|500087|000037226|0000000027279213|000244392|0000000183290264|015.23
24092020|500089|000000485|0000000000179062|000001090|0000000000403028|044.50
24092020|500092|000000694|0000000001188996|000001100|0000000001902191|063.09
24092020|500093|000423337|0000000009186413|000581088|0000000012709638|072.85
24092020|500096|000026161|0000000012732559|000079806|0000000038715937|032.78
24092020|500097|000001541|0000000000186847|000003623|0000000000441873|042.53
24092020|500101|000171898|0000000005346028|001448006|0000000042682608|011.87
24092020|500102|000200998|0000000000254786|000200998|0000000000254786|100.00
24092020|500103|000995385|0000000029712243|003434135|0000000104064868|028.98
24092020|500104|000193479|0000000033355780|000468833|0000000081743322|041.27
24092020|500106|000119872|0000000000688066|000258117|0000000001506998|046.44
24092020|500108|000049126|0000000000401360|000089026|0000000000721064|055.18
24092020|500109|000090932|0000000002427885|000147240|0000000003920917|061.76
24092020|500110|000012700|0000000000852805|000020148|0000000001359100|063.03
24092020|500111|000176977|0000000001380421|000298138|0000000002332940|059.36
24092020|500112|000700020|0000000123518529|001696978|0000000303203899|041.25
24092020|500113|001824650|0000000059848520|003577107|0000000120169106|051.01
24092020|500114|000018773|0000000020570515|000075035|0000000082073229|025.02
24092020|500116|000037245|0000000001223499|000075946|0000000002534744|049.04
24092020|500117|000073635|0000000001091271|000092510|0000000001367619|079.60
24092020|500119|000006696|0000000000878850|000017803|0000000002309028|037.61
24092020|500120|000015552|0000000006653146|000025185|0000000010636350|061.75
24092020|500123|000043779|0000000113427012|000044432|0000000115147048|098.53
24092020|500124|000011452|0000000057540002|000106661|0000000544589593|010.74
24092020|500125|000002212|0000000000611618|000005184|0000000001443614|042.67
24092020|500126|000000285|0000000001377477|000000415|0000000002011488|068.67
24092020|500128|000031396|0000000000550058|000059211|0000000001035972|053.02
24092020|500133|000000442|0000000000580324|000000681|0000000000892517|064.90
24092020|500135|000014041|0000000003393008|000028143|0000000006752803|049.89
24092020|500136|000009179|0000000000657676|000017818|0000000001280100|051.52
24092020|500144|000006391|0000000001736755|000013512|0000000003590299|047.30
24092020|500147|000001164|0000000000790822|000001908|0000000001309651|061.01
24092020|500148|000004680|0000000001406106|000007808|0000000002355715|059.94
24092020|500150|000000071|0000000000086319|000000085|0000000000102066|083.53
24092020|500151|000000401|0000000000008502|000000401|0000000000008530|100.00
24092020|500153|000017097|0000000000886480|000018875|0000000000983865|090.58
24092020|500155|000027947|0000000000297894|000027947|0000000000297894|100.00
24092020|500159|000000060|0000000000002916|000000083|0000000000003871|072.29
24092020|500160|000121853|0000000000309507|000136691|0000000000344146|089.14
24092020|500163|000002536|0000000002322596|000007896|0000000007169210|032.12
24092020|500164|000507506|0000000205539930|000511687|0000000207172731|099.18
24092020|500165|000001385|0000000000665562|000003751|0000000001771618|036.92
24092020|500166|000008226|0000000002240352|000010918|0000000002975534|075.34
24092020|500168|000004381|0000000003675002|000005880|0000000005000854|074.51
24092020|500170|000000379|0000000000002805|000000409|0000000000002950|092.66
24092020|500171|000003220|0000000000503447|000007034|0000000001103829|045.78
24092020|500173|000001297|0000000000101556|000001480|0000000000115550|087.64
24092020|500174|000007000|0000000000017780|000007000|0000000000017780|100.00
24092020|500179|000050108|0000000000363785|000078122|0000000000570716|064.14
24092020|500180|000102326|0000000105390664|000308801|0000000320181610|033.14
24092020|500182|000247655|0000000722694439|000265796|0000000779836319|093.17
24092020|500183|000144593|0000000002074910|000262387|0000000003816227|055.11
24092020|500184|000020171|0000000000975268|000058178|0000000002833392|034.67
24092020|500185|000509511|0000000002685123|001062279|0000000005581765|047.96
24092020|500186|000012993|0000000000893269|000024932|0000000001698731|052.11
24092020|500187|000070029|0000000005689857|000121691|0000000009588696|057.55
24092020|500188|000019406|0000000003985993|000057231|0000000011811005|033.91
24092020|500189|000001253|0000000000765897|000001524|0000000000935707|082.22
24092020|500191|000001147|0000000000016956|000001147|0000000000016956|100.00
24092020|500192|000000380|0000000000000822|000000380|0000000000000822|100.00
24092020|500193|000013797|0000000000064019|000020761|0000000000096646|066.46
24092020|500199|000008018|0000000002356090|000020025|0000000005985183|040.04
24092020|500201|000002983|0000000000818834|000008933|0000000002435305|033.39
24092020|500206|000000008|0000000000000058|000000008|0000000000000057|100.00
24092020|500207|000011923|0000000000262306|000021315|0000000000466679|055.94
24092020|500209|000067162|0000000065506457|000283773|0000000280471639|023.67
24092020|500210|000000872|0000000000512649|000001102|0000000000651227|079.13
24092020|500211|000010316|0000000000081910|000011707|0000000000093144|088.12
24092020|500212|000000101|0000000000002974|000000101|0000000000002974|100.00
24092020|500213|000000301|0000000000014388|000000311|0000000000015119|096.78
24092020|500214|000012230|0000000008619093|000019145|0000000013246524|063.88
24092020|500215|000000337|0000000000230576|000000369|0000000000252863|091.33
24092020|500219|000499710|0000000006521216|000597897|0000000007806608|083.58
24092020|500220|000002337|0000000000060178|000002338|0000000000060325|099.96
24092020|500223|000325634|0000000000296366|000325634|0000000000296366|100.00
24092020|500227|000002182|0000000000926587|000006810|0000000002894567|032.04
24092020|500228|000225884|0000000058436191|000382628|0000000100002733|059.03
24092020|500231|000000356|0000000000014792|000000356|0000000000014911|100.00
24092020|500233|000004619|0000000002302803|000014392|0000000007229797|032.09
24092020|500234|000000231|0000000000031878|000000331|0000000000046269|069.79
24092020|500235|000002643|0000000000522786|000006033|0000000001205436|043.81
24092020|500238|000001216|0000000002470973|000002393|0000000004848563|050.81
24092020|500239|000001841|0000000000038661|000001939|0000000000039384|094.95
24092020|500240|000000286|0000000000005853|000000286|0000000000005853|100.00
24092020|500241|000000428|0000000000044919|000001277|0000000000134189|033.52
24092020|500243|000000026|0000000000015786|000000036|0000000000021774|072.22
24092020|500245|000005185|0000000000440207|000006147|0000000000512905|084.35
24092020|500246|000000061|0000000000001920|000000061|0000000000001920|100.00
24092020|500247|000059440|0000000074056296|000117016|0000000148286670|050.80
24092020|500249|000003096|0000000001415646|000003805|0000000001759626|081.37
24092020|500250|000006112|0000000001385591|000009289|0000000002063913|065.80
24092020|500251|000001936|0000000001210678|000010168|0000000006303591|019.04
24092020|500252|000001952|0000000006832781|000002082|0000000007324115|093.76
24092020|500253|000061421|0000000016043166|000200008|0000000053077454|030.71
24092020|500254|008021219|0000000003689761|014950528|0000000006906332|053.65
24092020|500257|000009251|0000000009061818|000057220|0000000057186598|016.17
24092020|500259|000001766|0000000000032142|000002066|0000000000036807|085.48
24092020|500260|000001533|0000000001062983|000006340|0000000004453163|024.18
24092020|500264|000000019|0000000000001444|000000023|0000000000001742|082.61
24092020|500265|000002226|0000000000478257|000002902|0000000000625363|076.71
24092020|500266|000000282|0000000000780435|000000389|0000000001080763|072.49
24092020|500267|000000720|0000000000065016|000000746|0000000000067514|096.51
24092020|500268|000119448|0000000003237041|000302588|0000000008291628|039.48
24092020|500271|000012156|0000000007054127|000063839|0000000036932332|019.04
24092020|500279|000056598|0000000000443163|000063171|0000000000494072|089.59
24092020|500280|000000461|0000000000076204|000000599|0000000000098978|076.96
24092020|500284|000000091|0000000000003268|000000091|0000000000003268|100.00
24092020|500285|000138472|0000000006418178|000236421|0000000011109472|058.57
24092020|500288|000047096|0000000001054951|000080225|0000000001813590|058.70
24092020|500290|000000223|0000000012390438|000000522|0000000029269066|042.72
24092020|500292|000003951|0000000000691425|000019277|0000000003401654|020.50
24092020|500294|000251611|0000000007498008|000549209|0000000016428765|045.81
24092020|500295|000183893|0000000024273876|001015215|0000000133925751|018.11
24092020|500296|000000595|0000000000021272|000000754|0000000000027122|078.91
24092020|500298|000001740|0000000003454509|000002380|0000000004730609|073.11
24092020|500300|000012519|0000000008517928|000048988|0000000034075444|025.56
24092020|500302|000003949|0000000004709183|000035686|0000000043416069|011.07
24092020|500304|000020412|0000000002640293|000052399|0000000006868512|038.95
24092020|500306|000023754|0000000000097867|000024129|0000000000095582|098.45
24092020|500307|000001451|0000000000350852|000001888|0000000000457082|076.85
24092020|500312|000490124|0000000032544234|001291686|0000000085841973|037.94
24092020|500313|000000200|0000000000000782|000000200|0000000000000782|100.00
24092020|500314|000002964|0000000000059280|000003470|0000000000069144|085.42
24092020|500317|000035175|0000000000331349|000037687|0000000000344606|093.33
24092020|500319|000001120|0000000000025088|000001364|0000000000030128|082.11
24092020|500325|000173631|0000000378715256|000439081|0000000966283603|039.54
24092020|500327|000011905|0000000000073692|000013317|0000000000084228|089.40
24092020|500329|000063340|0000000000019635|000063340|0000000000019635|100.00
24092020|500330|000024230|0000000006132613|000053255|0000000013606973|045.50
24092020|500331|000004255|0000000005956575|000012806|0000000018079199|033.23
24092020|500333|000009531|0000000001236171|000013643|0000000001773679|069.86
24092020|500335|000015528|0000000009431708|000021651|0000000013368680|071.72
24092020|500336|000004226|0000000000782867|000009927|0000000001864095|042.57
24092020|500337|000002194|0000000000096536|000002773|0000000000121780|079.12
24092020|500338|000013362|0000000000733574|000022473|0000000001237079|059.46
24092020|500339|000039808|0000000003968858|000125785|0000000012516803|031.65
24092020|500343|000001221|0000000000021978|000001221|0000000000022517|100.00
24092020|500346|000000153|0000000000004819|000000153|0000000000004819|100.00
24092020|500350|000002811|0000000000248167|000002811|0000000000248167|100.00
24092020|500355|000006058|0000000001697149|000014759|0000000004132068|041.05
24092020|500356|000001025|0000000000013858|000001089|0000000000015386|094.12
24092020|500360|000000265|0000000000006281|000000535|0000000000012084|049.53
24092020|500365|000037491|0000000000337419|000037790|0000000000342416|099.21
24092020|500366|000073992|0000000000364781|000096530|0000000000477534|076.65
24092020|500367|000011984|0000000000436817|000015677|0000000000581210|076.44
24092020|500368|000002104|0000000000894006|000002104|0000000000894006|100.00
24092020|500370|000001332|0000000000020046|000001332|0000000000020046|100.00
24092020|500378|000054251|0000000003409676|000095635|0000000006028511|056.73
24092020|500380|000007966|0000000001984729|000013610|0000000003374238|058.53
24092020|500387|000000191|0000000003502339|000001064|0000000019688474|017.95
24092020|500390|000107535|0000000002349640|000238656|0000000005351503|045.06
24092020|500399|000000001|0000000000000002|000000001|0000000000000002|100.00
24092020|500400|000428471|0000000021573515|001851991|0000000095048204|023.14
24092020|500402|000002427|0000000000021212|000002667|0000000000023555|091.00
24092020|500403|000001474|0000000000590043|000002069|0000000000827365|071.24
24092020|500404|000036661|0000000001453609|000062582|0000000002489373|058.58
24092020|500405|000000951|0000000000209886|000001340|0000000000300131|070.97
24092020|500407|000000736|0000000001033234|000000950|0000000001331700|077.47
24092020|500408|000010912|0000000012929629|000062685|0000000073687367|017.41
24092020|500410|000003630|0000000004729527|000014318|0000000018918509|025.35
24092020|500411|000001264|0000000000914378|000003170|0000000002295827|039.87
24092020|500412|000013288|0000000000934147|000065039|0000000004677145|020.43
24092020|500413|000051166|0000000001511956|000084746|0000000002477853|060.38
24092020|500414|000015817|0000000000375908|000015817|0000000000375908|100.00
24092020|500418|000002542|0000000000150741|000005146|0000000000300606|049.40
24092020|500420|000001304|0000000003454296|000006635|0000000017577788|019.65
24092020|500422|000000211|0000000000002828|000000211|0000000000002827|100.00
24092020|500425|000026997|0000000005356205|000087695|0000000017734556|030.79
24092020|500429|000003556|0000000000218694|000011877|0000000000748486|029.94
24092020|500439|000000022|0000000000027940|000000024|0000000000029717|091.67
24092020|500440|000093231|0000000014828391|000495808|0000000079204479|018.80
24092020|500444|000001369|0000000000232251|000002284|0000000000390260|059.94
24092020|500449|000030422|0000000000405222|000041823|0000000000562914|072.74
24092020|500456|000023296|0000000000226904|000028252|0000000000274991|082.46
24092020|500458|000000600|0000000000000942|000000600|0000000000000942|100.00
24092020|500459|000000136|0000000001338852|000000203|0000000002001449|067.00
24092020|500460|000002720|0000000000109072|000002720|0000000000109072|100.00
24092020|500463|000000028|0000000000009401|000000060|0000000000020446|046.67
24092020|500464|000001976|0000000000214792|000006639|0000000000739786|029.76
24092020|500467|000005466|0000000000460784|000006552|0000000000554677|083.42
24092020|500469|000935618|0000000042804524|002605467|0000000120774619|035.91
24092020|500470|000081631|0000000028068820|000380250|0000000132910388|021.47
24092020|500472|000000546|0000000000791264|000000899|0000000001306052|060.73
24092020|500477|002531990|0000000170402927|004957827|0000000342181537|051.07
24092020|500480|000016129|0000000007120148|000079557|0000000035290921|020.27
24092020|500483|000004107|0000000003213112|000005992|0000000004716975|068.54
24092020|500488|000000400|0000000006387220|000000686|0000000010939235|058.31
24092020|500490|000001370|0000000003332662|000003002|0000000007292316|045.64
24092020|500493|000017499|0000000007554319|000066850|0000000029041544|026.18
24092020|500495|000013264|0000000015343796|000099606|0000000117875657|013.32
24092020|500500|000026828|0000000000133336|000030088|0000000000151731|089.17
24092020|500510|000145073|0000000123362826|000517398|0000000440176144|028.04
24092020|500520|000064297|0000000036890404|000266750|0000000156073265|024.10
24092020|500530|000000887|0000000010991172|000005536|0000000068470099|016.02
24092020|500540|000000003|0000000000000010|000000003|0000000000000010|100.00
24092020|500547|000022731|0000000008575270|000096051|0000000036600490|023.67
24092020|500550|000027088|0000000032806277|000053432|0000000064589902|050.70
24092020|500570|000521938|0000000064093987|002622477|0000000328605252|019.90
24092020|500575|000002339|0000000001517076|000013107|0000000008615118|017.85
24092020|500620|000001951|0000000000467265|000003732|0000000000897373|052.28
24092020|500645|000034506|0000000004967139|000069715|0000000010140458|049.50
24092020|500650|000002011|0000000001799946|000003805|0000000003392055|052.85
24092020|500655|000005521|0000000001389360|000008945|0000000002202504|061.72
24092020|500660|000002044|0000000003158185|000003306|0000000005185382|061.83
24092020|500670|000015869|0000000003253939|000062339|0000000012878290|025.46
24092020|500672|000003902|0000000002380806|000005170|0000000003153895|075.47
24092020|500674|000000210|0000000001760063|000000453|0000000003789857|046.36
24092020|500680|000002201|0000000010727454|000003967|0000000019407136|055.48
24092020|500690|000039131|0000000002165901|000156110|0000000008697599|025.07
24092020|500696|000040760|0000000083977828|000106726|0000000219820645|038.19
24092020|500710|000000134|0000000000271846|000000186|0000000000378404|072.04
24092020|500730|000029073|0000000003690818|000069600|0000000009027315|041.77
24092020|500770|000057354|0000000015981693|000258867|0000000074956232|022.16
24092020|500777|000015278|0000000000515633|000026814|0000000000916804|056.98
24092020|500780|000001413|0000000000062314|000002067|0000000000092089|068.36
24092020|500790|000000679|0000000010360081|000002215|0000000033992380|030.65
