script_code,company_name,symbol
500002,ABB India ,ABB
500003,Aegis Logistics ,AEGISCHEM
500008,Amara Raja Batteries ,AMARAJABAT
500020,Bombay Dyeing & Mfg Co ,BOMDYEING
500027,Atul ,ATUL
500032,Bajaj Hindusthan Sugar ,BAJAJHIND
500033,Force Motors ,FORCEMOT
500034,Bajaj Finance ,BAJFINANCE
500038,Balrampur Chini Mills ,BALRAMCHIN
500039,Banco Products  ,BANCOINDIA
500042,BASF India ,BASF
500043,Bata India ,BATAINDIA
500048,BEML ,BEML
500049,Bharat Electronics ,BEL
500055,TATA STEEL BSL ,TATASTLBSL
500060,Birla Cable ,BIRLACABLE
500067,Blue Star ,BLUESTARCO
500078,ORIENTAL AROMATICS ,OAL
500084,CESC ,CESC
500086,Exide Industries ,EXIDEIND
500087,Cipla ,CIPLA
500092,CRISIL ,CRISIL
500096,Dabur India ,DABUR
500101,Arvind ,ARVIND
500102,Ballarpur Industries ,BALLARPUR
500106,IFCI ,IFCI
500108,Mahanagar Telephone Nigam ,MTNL
500111,Reliance Capital ,RELCAPITAL
500112,State Bank Of India,SBIN
500113,Steel Authority of India ,SAIL
500114,Titan Company ,TITAN
500116,IDBI Bank ,IDBI
500117,DCW ,DCW
500119,Dhampur Sugar Mills ,DHAMPURSUG
500124,Dr Reddy's Laboratories ,DRREDDY
500126,PROCTER & GAMBLE HEALTH ,PGHL
500128,Electrosteel Castings ,ELECTCAST
500133,Esab India ,ESABINDIA
500135,Essel Propack ,ESSELPACK
500136,Ester Industries ,ESTER
500144,Finolex Cables ,FINCABLES
500148,Uflex ,UFLEX
500150,Foseco India ,FOSECOIND
500163,Godfrey Phillips India ,GODFRYPHLP
500164,Godrej Industries ,GODREJIND
500165,Kansai Nerolac Paints,KANSAINER
500171,GHCL ,GHCL
500173,GFL ,GFL
500179,HCL Infosystems ,HCL-INSYS
500180,HDFC Bank ,HDFCBANK
500182,Hero MotoCorp ,HEROMOTOCO
500183,HFCL ,HFCL
500185,Hindustan Construction Co ,HCC
500186,Hindustan Oil Exploration Co ,HINDOILEXP
500187,HSIL ,HSIL
500188,Hindustan Zinc ,HINDZINC
500193,HLV ,HLV
500199,IG Petrochemicals ,IGPL
500201,India Glycols ,INDIAGLYCO
500209,Infosys ,INFY
500215,Agro Tech Foods ,ATFL
500219,Jain Irrigation Systems ,JISLJALEQS
500227,Jindal Poly Films ,JINDALPOLY
500228,JSW Steel ,JSWSTEEL
500231,Umang Dairies ,UMANGDAIRY
500233,Kajaria Ceramics ,KAJARIACER
500235,Kalyani Steels ,KSL
500238,Whirlpool of India ,WHIRLPOOL
500241,Kirloskar Brothers ,KIRLOSBROS
500247,Kotak Mahindra Bank ,KOTAKBANK
500249,KSB ,KSB
500250,LgBalkrishnan & Bros ,LGBBROS
500253,Lic Housing Finance ,LICHSGFIN
500257,Lupin ,LUPIN
500260,The Ramco Cements ,RAMCOCEM
500265,Maharashtra Seamless ,MAHSEAMLES
500266,Maharashtra Scooters ,MAHSCOOTER
500268,Manali Petrochemicals ,MANALIPETC
500279,Mirc Electronics ,MIRCELECTR
500280,Century Enka ,CENTENKA
500285,SpiceJet ,SPICEJET
500290,MRF ,MRF
500294,NCC ,NCC
500295,Vedanta ,VEDL
500300,Grasim Industries ,GRASIM
500302,Piramal Enterprises ,PEL
500304,NIIT ,NIIT
500325,Reliance Industries ,RELIANCE
500327,Pil Italica Lifestyle ,PILITA
500330,Raymond ,RAYMOND
500331,Pidilite Industries ,PIDILITIND
500335,Birla Corporation ,BIRLACORPN
500336,Surya Roshni ,SURYAROSNI
500338,PRISM JOHNSON ,PRSMJOHNSN
500339,Rain Industries ,RAIN
500350,RSWM ,RSWM
500355,Rallis India ,RALLIS
500366,Rolta India ,ROLTA
500368,Ruchi Soya Industries ,RUCHI
500378,Jindal Saw ,JINDALSAW
500380,JK Lakshmi Cement ,JKLAKSHMI
500387,Shree Cements ,SHREECEM
500390,Reliance Infrastructure ,RELINFRA
