Symbol,Name
20MICRONS,20 Microns 
3IINFOTECH,3i Infotech 
3MINDIA,3m India 
5PAISA,5paisa Capital 
63MOONS,63 Moons Technologies 
A2ZINFRA,A2z Infra Engineering 
AARTIDRUGS,Aarti Drugs 
AARTIIND,Aarti Industries 
AARTIIND,Aarti Industries 
AAVAS,Aavas Financiers 
ABAN,Aban Offshore 
ABB,Abb India 
ABB,Abb India 
ABBOTINDIA,Abbott India 
ABCAPITAL,Aditya Birla Capital 
ABFRL,Aditya Birla Fashion & Rt
ACC,Acc 
ACCELYA,Accelya Soln India 
ACE,Action Const Equip 
ADANIENT,Adani Enterprises 
ADANIGAS,Adani Gas 
ADANIGREEN,Adani Green Energy 
ADANIPORTS,Adani Port & Sez 
ADANIPOWER,Adani Power 
ADANITRANS,Adani Transmission 
ADFFOODS,Adf Foods 
ADHUNIKIND,Adhunik Industries 
ADORWELD,Ador Welding 
ADVENZYMES,Advanced Enzyme Tech 
AEGISCHEM,Aegis Logistics 
AFFLE,Affle  
AFFLE,Affle  
AGARIND,Agarwal Inds Corp 
AGCNET,Agc Networks 
AHLUCONT,Ahluwalia Cont Ind 
AIAENG,Aia Engineering 
AJANTPHARM,Ajanta Pharma 
AJMERA,Ajmera Realty & Inf I 
AKSHARCHEM,Aksharchem India 
AKSHOPTFBR,Aksh Optifibre 
AKZOINDIA,Akzo Nobel India 
ALANKIT,Alankit 
ALBERTDAVD,Albert David 
ALCHEM,Alchemist 
ALEMBIC,Alembic 
ALEMBIC,Alembic 
ALKEM,Alkem Laboratories 
ALKYLAMINE,Alkyl Amines Chem
ALLCARGO,Allcargo Logistics 
ALOKINDS,Alok Industries 
ALOKTEXT,Alok Industries 
ALPA,Alpa Laboratories 
ALPHAGEO,Alphageo  
AMARAJABAT,Amara Raja Batteries 
AMBER,Amber Enterprises  
AMBIKCO,Ambika Cotton Mill 
AMBUJACEM,Ambuja Cements 
AMRUTANJAN,Amrutajan Health 
ANANTRAJ,Anant Raj 
ANDHRAPAP,Andhra Paper 
ANDHRSUGAR,Andhra Sugars 
ANIKINDS,Anik Industries 
ANUP,The Anup Engineering 
APARINDS,Apar Industries 
APCOTEXIND,Apcotex Industries Limite
APEX,Apex Frozen Foods 
APLAPOLLO,Apl Apollo Tubes 
APL,Alembic Pharma 
APOLLO,Apollo Micro Systems 
APOLLOHOSP,Apollo Hospitals EnterL
APOLLOPIPE,Apollo Pipes 
APOLLOTYRE,Apollo Tyres 
APOLSINHOT,Apollo Sindoori Hotel 
APTECHT,Aptech 
ARIES,Aries Agro 
ARMANFIN,Arman Fin Serv 
ARSSINFRA,Arss Infra Proj
ARVIND,Arvind 
ARVINDFASN,Arvind Fashions 
ARVSMART,Arvind Smartspaces 
ASAHIINDIA,Asahi India Glass 
ASAHISONG,Asahi Songwon Color 
ASALCBR,Asso Alcohols & Brew 
ASHIANA,Ashiana Housing 
ASHOKA,Ashoka Buildcon 
ASHOKLEY,Ashok Leyland 
ASIANPAINT,Asian Paints 
ASIANTILES,Asian Granito Ind
ASTEC,Astec Lifesciences 
ASTERDM,Aster Dm Healthcare 
ASTRAL,Astral Poly Tech 
ASTRAMICRO,Astra Microwave 
ASTRAZEN,Astrazeneca Pharma Ind
ASTRON,Astron Paper Bord Mil 
ATFL,Agro Tech Foods 
ATLANTA,Atlanta 
ATUL,Atul 
ATULAUTO,Atul Auto 
AUBANK,Au Small Finance Bank 
AURIONPRO,Aurionpro Soln 
AUROPHARMA,Aurobindo Pharma 
AUTOAXLES,Automotive Axles 
AVADHSUGAR,Avadh Sug & Energy 
AVANTIFEED,Avanti Feeds 
AVTNPL,Avt Natural Products 
AXISBANK,Axis Bank 
AXISGOLD,Axis Mf - Axis Gold Etf
BAJAJ-AUTO,Bajaj Auto 
BAJAJCON,Bajaj Consumer Care 
BAJAJCORP,Bajaj Corp 
BAJAJELEC,Bajaj Elect.
BAJAJFINSV,Bajaj Finserv 
BAJAJHIND,Bajaj Hindusthan Sugar
BAJAJHLDNG,Bajaj Holdings & Invs 
BAJFINANCE,Bajaj Finance 
BALAJITELE,Balaji Telefilms 
BALAMINES,Balaji Amines 
BALKRISIND,Balkrishna Ind
BALLARPUR,Ballarpur Industries 
BALMLAWRIE,Balmer Lawrie & Co 
BALPHARMA,Bal Pharma 
BALRAMCHIN,Balrampur Chini Mills 
BANCOINDIA,Banco Products  
BANDHANBNK,Bandhan Bank 
BANKBARODA,Bank Of Baroda
BANKBEES,Nipponindia Etf Bank Bees
BANKINDIA,Bank Of India
BASF,Basf India 
BATAINDIA,Bata India 
BAYERCROP,Bayer Cropscience 
BBL,Bharat Bijlee 
BBTC,Bombay Burmah Trading Cor
BDL,Bharat Dynamics 
BEL,Bharat Electronics 
BEML,Beml 
BEPL,Bhansali EngPolymers
BERGEPAINT,Berger Paints  
BFINVEST,Bf Investment 
BFUTILITIE,Bf Utilities 
BGRENERGY,Bgr Energy Systems 
BGRENERGY,Bgr Energy Systems 
BHAGERIA,Bhageria Industries 
BHARATFORG,Bharat Forge 
BHARATRAS,Bharat Rasayan 
BHARTIARTL,Bharti Airtel 
BHEL,Bhel
