DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
21092020,500002,000006278,0000000005642667,000010249,0000000009213029,061.25
21092020,500003,000006182,0000000001448134,000011111,0000000002652132,055.64
21092020,500008,000013805,0000000010007245,000044679,0000000033248968,030.90
21092020,500009,000040592,0000000000767189,000047742,0000000000928409,085.02
21092020,500010,000024038,0000000041079741,000056645,0000000097666917,042.44
21092020,500012,000108203,0000000003514313,000108203,0000000003514313,100.00
21092020,500013,000020547,0000000000081367,000021268,0000000000084696,096.61
21092020,500014,000003761,0000000000004138,000003761,0000000000003892,100.00
21092020,500016,000000005,0000000000000035,000000005,0000000000000035,100.00
21092020,500020,000051945,0000000003358245,000152781,0000000010078967,034.00
21092020,500023,000000542,0000000000030596,000000938,0000000000052660,057.78
21092020,500027,000001210,0000000007563650,000002438,0000000015842255,049.63
21092020,500028,000013571,0000000000052161,000013571,0000000000052161,100.00
21092020,500029,000003412,0000000000066023,000003903,0000000000076170,087.42
21092020,500031,000002724,0000000001289270,000007382,0000000003572327,036.90
21092020,500032,000251917,0000000001309969,000413702,0000000002166329,060.89
21092020,500033,000004752,0000000005270681,000007596,0000000008583838,062.56
21092020,500034,000047768,0000000158969516,000159913,0000000540579100,029.87
21092020,500038,000013320,0000000001993338,000030645,0000000004746613,043.47
21092020,500039,000007693,0000000000674292,000011187,0000000000999696,068.77
21092020,500040,000014185,0000000004874676,000037899,0000000013376839,037.43
21092020,500041,000001406,0000000001828152,000001408,0000000001830373,099.86
21092020,500042,000002585,0000000003773583,000004606,0000000006876363,056.12
21092020,500043,000006563,0000000008681537,000026089,0000000034902991,025.16
21092020,500048,000007997,0000000005000125,000027613,0000000017515275,028.96
21092020,500049,000132520,0000000012748424,000356650,0000000035231435,037.16
21092020,500052,000045164,0000000002671451,000088203,0000000005461747,051.20
21092020,500055,000166276,0000000003624817,000227737,0000000005042049,073.01
21092020,500058,000006859,0000000000003978,000006859,0000000000003978,100.00
21092020,500060,000002195,0000000000114360,000004701,0000000000251584,046.69
21092020,500067,000010611,0000000006700316,000016180,0000000010246052,065.58
21092020,500068,000000187,0000000000644000,000000188,0000000000655691,099.47
21092020,500069,000000070,0000000000005128,000000120,0000000000008455,058.33
21092020,500074,000008269,0000000000150496,000009932,0000000000184041,083.26
21092020,500078,000003930,0000000001466087,000005329,0000000002062257,073.75
21092020,500083,000020343,0000000000066929,000024456,0000000000080842,083.18
21092020,500084,000012383,0000000007915833,000048182,0000000032822708,025.70
21092020,500085,000094488,0000000014399972,000130659,0000000020141199,072.32
21092020,500086,000172501,0000000027427659,000255536,0000000041675476,067.51
21092020,500087,000085575,0000000065695928,000506235,0000000398734334,016.90
21092020,500089,000000983,0000000000354126,000001231,0000000000460033,079.85
21092020,500092,000000934,0000000001623900,000001483,0000000002564320,062.98
21092020,500093,000428474,0000000010347648,000591922,0000000014553042,072.39
21092020,500096,000019694,0000000009665816,000056863,0000000028261294,034.63
21092020,500097,000011079,0000000001422544,000014925,0000000001933689,074.23
21092020,500101,000152663,0000000004747820,000857020,0000000027094256,017.81
21092020,500102,001062309,0000000001480071,001062309,0000000001480071,100.00
21092020,500103,001188969,0000000040781637,003628042,0000000125516002,032.77
21092020,500104,000053510,0000000010116066,000295302,0000000057234172,018.12
21092020,500106,000265425,0000000001661561,000485444,0000000003085217,054.68
21092020,500108,000148390,0000000001289510,000274201,0000000002452841,054.12
21092020,500109,000074220,0000000002089293,000114053,0000000003266508,065.08
21092020,500110,000023023,0000000001668017,000044316,0000000003261868,051.95
21092020,500111,000345921,0000000002840012,000431091,0000000003569584,080.24
21092020,500112,001328674,0000000246867630,004120225,0000000777292604,032.25
21092020,500113,000579075,0000000020499255,001707383,0000000062051273,033.92
21092020,500114,000049069,0000000054940106,000101069,0000000115465508,048.55
21092020,500116,000151317,0000000005439847,000383902,0000000014437961,039.42
21092020,500117,000042206,0000000000616208,000065011,0000000000949681,064.92
21092020,500119,000009493,0000000001341836,000024432,0000000003510610,038.85
21092020,500120,000021138,0000000009330314,000038397,0000000017773496,055.05
21092020,500123,000000406,0000000001034854,000000480,0000000001250644,084.58
21092020,500124,000019507,0000000100250375,000313292,0000001655193595,006.23
21092020,500125,000007436,0000000002128184,000021727,0000000006415770,034.22
21092020,500126,000000550,0000000002827990,000001113,0000000005819339,049.42
21092020,500128,000082506,0000000001430655,000152114,0000000002688782,054.24
21092020,500133,000000027,0000000000036990,000000029,0000000000039855,093.10
21092020,500135,000131511,0000000031825662,000248011,0000000063126202,053.03
21092020,500136,000032198,0000000002401971,000053749,0000000004110848,059.90
21092020,500142,000001573,0000000000001652,000001573,0000000000001651,100.00
21092020,500144,000004016,0000000001146568,000007761,0000000002263601,051.75
21092020,500147,000001269,0000000000927957,000001346,0000000001010684,094.28
21092020,500148,000002727,0000000000881231,000007811,0000000002595071,034.91
21092020,500150,000000229,0000000000285575,000000264,0000000000335559,086.74
21092020,500151,000000990,0000000000021582,000000990,0000000000021611,100.00
21092020,500153,000244663,0000000013456465,000288087,0000000016762665,084.93
21092020,500155,000000237,0000000000002370,000000237,0000000000002370,100.00
21092020,500159,000000963,0000000000046417,000001063,0000000000051408,090.59
21092020,500160,000001700,0000000000003740,000001700,0000000000003740,100.00
21092020,500163,000004963,0000000004535438,000022020,0000000020702368,022.54
